pdf_file_name,block_coverage,is corupted
pdftc_010k_0145.xml,7.572332177,
pdftc_010k_0049.xml,7.576412977,
pdftc_010k_1180.xml,7.576412977,
pdftc_010k_0020.xml,7.578045297,
pdftc_010k_0052.xml,7.578045297,
pdftc_010k_0096.xml,7.578045297,
pdftc_010k_0038.xml,7.580493777,
pdftc_010k_0029.xml,7.581309937,
pdftc_010k_0040.xml,7.581309937,
pdftc_010k_0042.xml,7.581309937,
pdftc_010k_0051.xml,7.581309937,
pdftc_010k_0071.xml,7.581309937,
pdftc_010k_0028.xml,7.582126097,
pdftc_010k_0034.xml,7.582126097,
pdftc_010k_0041.xml,7.582126097,
pdftc_010k_0046.xml,7.582126097,
pdftc_010k_0032.xml,7.582942257,
pdftc_010k_0039.xml,7.582942257,
pdftc_010k_0047.xml,7.582942257,
pdftc_010k_0177.xml,7.582942257,
pdftc_010k_0027.xml,7.583758417,
pdftc_010k_0033.xml,7.583758417,
pdftc_010k_0037.xml,7.583758417,
pdftc_010k_0050.xml,7.583758417,
pdftc_010k_0036.xml,7.585390737,
pdftc_010k_0043.xml,7.585390737,
pdftc_010k_0081.xml,7.587839216,
pdftc_010k_0107.xml,7.588655376,
pdftc_010k_1157.xml,7.590287696,
pdftc_010k_0082.xml,7.591103856,
pdftc_010k_0079.xml,7.594368496,
pdftc_100k_0157.xml,7.594368496,
pdftc_010k_1196.xml,7.595184656,
pdftc_010k_0687.xml,7.596816976,
pdftc_010k_0173.xml,7.597633136,
pdftc_010k_0143.xml,7.600897776,
pdftc_010k_0110.xml,7.605794736,
pdftc_010k_0663.xml,7.606610896,
pdftc_010k_0087.xml,7.608243216,
pdftc_010k_0134.xml,7.609875536,
pdftc_100k_0508.xml,7.609875536,
pdftc_010k_0313.xml,7.610691696,
pdftc_010k_1165.xml,7.610691696,
pdftc_010k_0045.xml,7.612324016,
pdftc_010k_0077.xml,7.614772495,
pdftc_010k_0095.xml,7.614772495,
pdftc_010k_1306.xml,7.615588655,
pdftc_010k_0086.xml,7.616404815,
pdftc_100k_0965.xml,7.616404815,
pdftc_010k_0089.xml,7.618037135,
pdftc_010k_0139.xml,7.619669455,
pdftc_010k_0149.xml,7.619669455,
pdftc_010k_0325.xml,7.619669455,
pdftc_010k_1297.xml,7.619669455,
pdftc_010k_0123.xml,7.620485615,
pdftc_010k_0327.xml,7.620485615,
pdftc_100k_0014.xml,7.620485615,
pdftc_100k_0523.xml,7.620485615,
pdftc_010k_0178.xml,7.621301775,
pdftc_010k_2037.xml,7.622117935,
pdftc_010k_0310.xml,7.623750255,
pdftc_010k_0417.xml,7.623750255,
pdftc_010k_0423.xml,7.624566415,
pdftc_010k_1904.xml,7.624566415,
pdftc_010k_0088.xml,7.625382575,
pdftc_010k_0869.xml,7.625382575,
pdftc_010k_0030.xml,7.627014895,
pdftc_010k_0055.xml,7.627014895,
pdftc_010k_2038.xml,7.628647215,
pdftc_010k_0730.xml,7.630279535,
pdftc_010k_0093.xml,7.631095695,
pdftc_010k_1007.xml,7.634360335,
pdftc_010k_1030.xml,7.635176495,
pdftc_010k_1466.xml,7.635992655,
pdftc_010k_1048.xml,7.636808815,
pdftc_010k_1498.xml,7.638441134,
pdftc_010k_1206.xml,7.639257294,
pdftc_100k_0153.xml,7.644154254,
pdftc_010k_0183.xml,7.644970414,
pdftc_010k_0085.xml,7.645786574,
pdftc_010k_0180.xml,7.646602734,
pdftc_010k_0129.xml,7.647418894,
pdftc_010k_0181.xml,7.647418894,
pdftc_100k_0180.xml,7.647418894,
pdftc_010k_0182.xml,7.648235054,
pdftc_010k_0083.xml,7.649867374,
pdftc_010k_1182.xml,7.649867374,
pdftc_010k_1185.xml,7.650683534,
pdftc_010k_0176.xml,7.651499694,
pdftc_100k_0290.xml,7.652315854,
pdftc_900k_0752.xml,7.653132014,
pdftc_100k_0091.xml,7.658028974,
pdftc_mozilla_0053.xml,7.658845134,
pdftc_010k_0315.xml,7.660477454,
pdftc_010k_1188.xml,7.663742093,
pdftc_010k_0044.xml,7.664558253,
pdftc_010k_0031.xml,7.665374413,
pdftc_010k_0135.xml,7.670271373,
pdftc_010k_0084.xml,7.673536013,
pdftc_100k_0876.xml,7.674352173,
pdftc_010k_0567.xml,7.680065293,
pdftc_010k_1178.xml,7.680065293,
pdftc_010k_1210.xml,7.682513773,
pdftc_010k_2018.xml,7.682513773,
pdftc_010k_2048.xml,7.683329933,
pdftc_010k_1193.xml,7.684146093,
pdftc_010k_1411.xml,7.684146093,
pdftc_010k_1029.xml,7.684962253,
pdftc_010k_0599.xml,7.685778413,
pdftc_010k_0779.xml,7.685778413,
pdftc_010k_1208.xml,7.685778413,
pdftc_010k_0573.xml,7.686594573,
pdftc_010k_0989.xml,7.686594573,
pdftc_010k_1194.xml,7.686594573,
pdftc_100k_0012.xml,7.686594573,
pdftc_010k_1129.xml,7.687410733,
pdftc_010k_1614.xml,7.687410733,
pdftc_100k_0022.xml,7.687410733,
pdftc_010k_2015.xml,7.688226892,
pdftc_010k_1128.xml,7.689043052,
pdftc_010k_1523.xml,7.689043052,
pdftc_010k_1829.xml,7.689043052,
pdftc_010k_1261.xml,7.689859212,
pdftc_010k_1810.xml,7.689859212,
pdftc_010k_1987.xml,7.689859212,
pdftc_010k_0821.xml,7.690675372,
pdftc_010k_1409.xml,7.690675372,
pdftc_100k_0020.xml,7.691491532,
pdftc_100k_0023.xml,7.691491532,
pdftc_100k_0111.xml,7.691491532,
pdftc_100k_0125.xml,7.691491532,
pdftc_010k_1377.xml,7.692307692,
pdftc_100k_0018.xml,7.692307692,
pdftc_010k_0141.xml,7.698836972,
pdftc_100k_1834.xml,7.698836972,
pdftc_010k_0306.xml,7.701285452,
